City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
400,Mana,GF,75.13,scattered clouds,5.6592,-53.7767,LE SAMANA
404,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
413,Ulladulla,AU,77.9,clear sky,-35.35,150.4667,Sandpiper Motel
414,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
415,Bacong,PH,81.61,scattered clouds,9.2464,123.2956,Sta Monica Beach Club
416,Natal,BR,79.02,heavy intensity rain,-5.795,-35.2094,Villa Park Hotel | Natal
419,Monrovia,LR,79.12,few clouds,6.3005,-10.7969,Sunset Inn
437,Mayumba,GA,76.1,broken clouds,-3.432,10.6554,LIKWALE LODGE
438,Prieska,ZA,81.27,clear sky,-29.6641,22.7474,Avenue GuestHouse
439,Vung Tau,VN,78.6,few clouds,10.346,107.0843,Green hotel
444,Touros,BR,77.9,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
446,Nelson Bay,AU,83.28,clear sky,-32.7167,152.15,Mantra Nelson Bay
449,Tha Mai,TH,85.41,few clouds,12.6214,102.0048,Khowbuysi View Resort
450,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
456,Port Macquarie,AU,78.76,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
471,Sinnamary,GF,75.29,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
472,Vaitape,PF,81.09,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
478,Ambon,ID,91.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
490,Kavieng,PG,84.0,light rain,-2.5744,150.7967,Nusa Island Retreat
498,Nioaque,BR,81.36,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
506,Bima,ID,84.11,overcast clouds,-8.4667,118.7167,Lambitu Hotel
508,General Roca,AR,76.17,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
510,Nicoya,CR,75.92,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
515,Paka,MY,80.89,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
518,Axim,GH,78.33,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
520,Monte Alegre,BR,77.97,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
524,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
533,Nisia Floresta,BR,77.22,light rain,-6.0911,-35.2086,Rancho Crepusculo
534,Thung Song,TH,85.42,clear sky,8.1645,99.6804,Jasmine Resort And Spa
540,Aliaga,PH,84.33,scattered clouds,15.5167,120.8667,Jhenie rich ramos
546,Prabumulih,ID,78.6,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
549,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
551,Banda Aceh,ID,81.37,scattered clouds,5.5577,95.3222,Sulthan Hotel International
557,Charagua,BO,82.11,overcast clouds,-19.8,-63.2167,Hotel
561,Kupang,ID,88.38,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
562,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
565,Tabou,CI,78.6,clear sky,4.423,-7.3528,hotêl doufoulougou
580,Santa Rosa,PH,87.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
585,Madang,PG,86.74,light rain,-5.2246,145.7966,Comfort Inn Hotel
595,Labuhan,ID,82.42,overcast clouds,-6.8844,112.2051,DoubleFAG
598,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
601,Koumac,NC,83.07,broken clouds,-20.5667,164.2833,Le Monitel
610,Chirongui,YT,82.33,light rain,-12.9319,45.1483,La Villa Mahatsara
615,Maumere,ID,83.95,overcast clouds,-8.6199,122.2111,Sylvia Hotel
616,Manadhoo,MV,78.73,overcast clouds,5.7667,73.3833,Bon Abri maldives
618,Acapulco,MX,77.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
626,Tokoroa,NZ,77.95,clear sky,-38.2333,175.8667,Tokoroa Apartments
628,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
630,Kapoeta,SS,78.87,broken clouds,4.7717,33.5903,Eastgate Hotel
