City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
415,Bacong,PH,9.2464,123.2956,81.61,86,47,10.98,scattered clouds,2022-01-27 01:57:58
416,Natal,BR,-5.795,-35.2094,79.02,89,40,4.61,heavy intensity rain,2022-01-27 01:57:58
417,Swellendam,ZA,-34.0226,20.4417,57.58,91,14,3.13,few clouds,2022-01-27 01:57:59
418,Solwezi,ZM,-12.1688,26.3894,60.73,98,100,4.68,light rain,2022-01-27 01:58:59
419,Monrovia,LR,6.3005,-10.7969,79.12,79,24,6.24,few clouds,2022-01-27 01:58:43
420,Brae,GB,60.3964,-1.353,42.71,83,100,33.82,overcast clouds,2022-01-27 01:59:00
421,Dajal,PK,29.5577,70.3762,48.9,30,0,4.36,clear sky,2022-01-27 01:59:00
422,Mitu,CO,1.1983,-70.1733,73.58,90,35,3.06,scattered clouds,2022-01-27 01:59:01
423,Seybaplaya,MX,19.65,-90.6667,73.45,86,0,14.2,clear sky,2022-01-27 01:59:01
424,Rakhiv,UA,48.0526,24.2009,23.86,98,99,0.98,overcast clouds,2022-01-27 01:59:01
425,Halifax,CA,44.6453,-63.5724,15.01,77,39,5.99,scattered clouds,2022-01-27 01:55:33
426,Najran,SA,17.4924,44.1277,50.65,57,0,6.29,clear sky,2022-01-27 01:59:02
427,Gamba,GA,-2.65,10.0,75.99,90,100,5.61,overcast clouds,2022-01-27 01:59:02
428,Gumdag,TM,39.2061,54.5906,40.51,54,100,15.68,overcast clouds,2022-01-27 01:59:03
429,Sioux Lookout,CA,50.1001,-91.917,19.78,86,100,8.05,overcast clouds,2022-01-27 01:59:03
430,Fene,ES,43.45,-8.15,42.71,89,2,4.81,clear sky,2022-01-27 01:59:04
431,La Ronge,CA,55.1001,-105.2842,8.85,66,100,11.5,overcast clouds,2022-01-27 01:59:04
432,Concarneau,FR,47.875,-3.9225,38.17,91,11,1.23,few clouds,2022-01-27 01:59:04
433,Kharp,RU,66.8014,65.8081,7.14,92,100,4.99,overcast clouds,2022-01-27 01:59:05
434,Alta Floresta,BR,-9.8756,-56.0861,71.08,98,100,3.85,overcast clouds,2022-01-27 01:59:05
435,Yumen,CN,40.2833,97.2,19.2,44,91,7.09,overcast clouds,2022-01-27 01:59:06
436,Krasnoselkup,RU,65.7,82.4667,-4.2,97,100,17.4,overcast clouds,2022-01-27 01:59:06
437,Mayumba,GA,-3.432,10.6554,76.1,88,70,2.66,broken clouds,2022-01-27 01:59:07
438,Prieska,ZA,-29.6641,22.7474,81.27,24,6,3.11,clear sky,2022-01-27 01:59:07
439,Vung Tau,VN,10.346,107.0843,78.6,76,13,6.51,few clouds,2022-01-27 01:57:01
440,Challapata,BO,-18.9,-66.7667,47.28,81,100,7.63,overcast clouds,2022-01-27 01:59:08
441,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,5.75,clear sky,2022-01-27 01:59:08
442,Bereda,ES,43.2686,-7.5406,45.91,100,34,1.68,scattered clouds,2022-01-27 01:59:08
443,Siderno,IT,38.2779,16.302,54.18,86,20,9.15,few clouds,2022-01-27 01:59:09
444,Touros,BR,-5.1989,-35.4608,77.9,75,100,11.12,moderate rain,2022-01-27 01:59:09
445,Celestun,MX,20.8667,-90.4,73.26,82,3,13.56,clear sky,2022-01-27 01:59:10
446,Nelson Bay,AU,-32.7167,152.15,83.28,61,0,15.41,clear sky,2022-01-27 01:59:10
447,Shahpura,IN,27.3833,75.9667,47.53,55,0,1.61,clear sky,2022-01-27 01:59:11
448,Bukachacha,RU,52.9833,116.9167,-4.18,88,29,1.77,scattered clouds,2022-01-27 01:59:11
449,Tha Mai,TH,12.6214,102.0048,85.41,85,12,2.1,few clouds,2022-01-27 01:59:11
450,Port Blair,IN,11.6667,92.75,80.64,74,40,6.91,scattered clouds,2022-01-27 01:59:12
451,San Cristobal,VE,7.7669,-72.225,71.78,88,95,2.01,overcast clouds,2022-01-27 01:59:12
452,Akyab,MM,20.15,92.9,69.66,67,0,6.31,clear sky,2022-01-27 01:59:13
453,Smithers,CA,54.7804,-127.1743,28.72,86,75,4.61,broken clouds,2022-01-27 01:59:13
454,Socorro,US,31.6546,-106.3033,55.18,27,55,2.95,broken clouds,2022-01-27 01:59:13
455,Vestmannaeyjar,IS,63.4427,-20.2734,36.1,66,87,3.27,overcast clouds,2022-01-27 01:59:14
456,Port Macquarie,AU,-31.4333,152.9167,78.76,59,54,9.37,broken clouds,2022-01-27 01:59:14
457,Verkhnevilyuysk,RU,63.4453,120.3167,-9.15,98,100,4.9,overcast clouds,2022-01-27 01:59:15
458,Taltal,CL,-25.4,-70.4833,66.38,83,19,3.47,few clouds,2022-01-27 01:59:15
459,Brodnica,PL,53.2597,19.3965,37.18,97,100,14.79,overcast clouds,2022-01-27 01:59:15
460,Kysyl-Syr,RU,63.8986,122.7617,-15.48,100,94,2.84,overcast clouds,2022-01-27 01:59:16
461,Galveston,US,29.3669,-94.9669,51.91,79,3,9.24,clear sky,2022-01-27 01:59:06
462,Birjand,IR,32.8663,59.2211,36.07,44,0,4.61,clear sky,2022-01-27 01:59:16
463,Altay,CN,47.8667,88.1167,5.77,79,100,2.59,overcast clouds,2022-01-27 02:00:17
